place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
RhDL 075,H6,Chondrite,Stony,29.9,1,Found,2002,-115.35067,35.67355
Y-74479,H6,Chondrite,Stony,29.82,1,Found,1974,35.66667,0
Y-74426,H6,Chondrite,Stony,29.8,1,Found,1974,35.66667,0
LEW 88301,H6,Chondrite,Stony,29.8,1,Found,1988,161.40801,-84.26973
LEW 88215,H6,Chondrite,Stony,29.8,1,Found,1988,161.3773,-84.24982
MAC 02608,H6,Chondrite,Stony,29.7,1,Found,2002,160.5,-84.21667
A-881724,H6,Chondrite,Stony,29.42,1,Found,1988,26,-72
SJ 050,H6,Chondrite,Stony,29.4,1,Found,2009,-69.8865,-25.439667
EET 82615,H6,Chondrite,Stony,29.3,1,Found,1982,157.16667,-76.18333
GRA 98076,H6,Chondrite,Stony,29.2,1,Found,1998,-141.5,-86.71667
Jungo 003,H6,Chondrite,Stony,29.1,1,Found,2007,-118.35305,40.95805
QUE 93289,H6,Chondrite,Stony,29,1,Found,1993,168,-84
DaG 547,H6,Chondrite,Stony,29,1,Found,1997,16.41317,27.02317
MET 00928,H6,Chondrite,Stony,29,1,Found,2000,159.75,-79.68333
Y-74423,H6,Chondrite,Stony,28.95,1,Found,1974,35.66667,0
LEW 97222,H6,Chondrite,Stony,28.9,1,Found,1997,161.5,-84.26667
NWA 474,H6,Chondrite,Stony,28.8,1,Found,1999,-4.13833,32.02167
A-880792,H6,Chondrite,Stony,28.75,1,Found,1988,26,-72
A-87231,H6,Chondrite,Stony,28.53,1,Found,1987,26,-72
JOH 03003,H6,Chondrite,Stony,28.5,1,Found,2003,161.14481,-72.89494
A-881744,H6,Chondrite,Stony,28.48,1,Found,1988,26,-72
GRV 051644,H6,Chondrite,Stony,28.45,1,Found,2006,75.331111,-72.778611
LEW 86190,H6,Chondrite,Stony,28.4,1,Found,1986,161.34775,-84.25806
QUE 97664,H6,Chondrite,Stony,28.4,1,Found,1997,168,-84
MET 00718,H6,Chondrite,Stony,28.4,1,Found,2000,159.75,-79.68333
MET 00971,H6,Chondrite,Stony,28.4,1,Found,2000,159.75,-79.68333
MET 001120,H6,Chondrite,Stony,28.4,1,Found,2000,159.75,-79.68333
Y-791437,H6,Chondrite,Stony,28.2,1,Found,1979,35.66667,-71.5
A-880803,H6,Chondrite,Stony,28.19,1,Found,1988,26,-72
FRO 99032,H6,Chondrite,Stony,28.1,1,Found,1999,160.56417,-72.9625
MET 00965,H6,Chondrite,Stony,28.1,1,Found,2000,159.75,-79.68333
MET 00798,H6,Chondrite,Stony,28.1,1,Found,2000,155.75,-79.68333
El M??dano 032,H6,Chondrite,Stony,28,1,Found,2010,-70.53333,-24.85
EET 83295,H6,Chondrite,Stony,27.9,1,Found,1983,157.30583,-76.29
LEW 85392,H6,Chondrite,Stony,27.9,1,Found,1985,161.40263,-84.26719
ALH 85117,H6,Chondrite,Stony,27.8,1,Found,1985,156.71473,-76.90129
PCA 91266,H6,Chondrite,Stony,27.8,1,Found,1991,-69.03401,-85.69089
QUE 93238,H6,Chondrite,Stony,27.8,1,Found,1993,162.12264,-84.60625
Jungo 002,H6,Chondrite,Stony,27.8,1,Found,2007,-118.35388,40.89805
ALHA78124,H6,Chondrite,Stony,27.7,1,Found,1978,159.66667,-76.71667
MET 001039,H6,Chondrite,Stony,27.7,1,Found,2000,159.75,-79.68333
MET 00912,H6,Chondrite,Stony,27.62,1,Found,2000,155.75,-79.68333
ALHA81271,H6,Chondrite,Stony,27.6,1,Found,1981,159.41417,-76.70667
FRO 09015,H6,Chondrite,Stony,27.3,1,Found,2009,160.4715,-72.95225
JaH 414,H6,Chondrite,Stony,27.298,1,Found,2007,56.56567,19.827
LEW 88678,H6,Chondrite,Stony,27.2,1,Found,1988,161.3224,-84.29382
Y-791863,H6,Chondrite,Stony,27.15,1,Found,1979,35.66667,-71.5
QUE 94762,H6,Chondrite,Stony,27.1,1,Found,1994,168,-84
LEW 88741,H6,Chondrite,Stony,27,1,Found,1988,161.35985,-84.27197
Y-792892,H6,Chondrite,Stony,26.86,1,Found,1979,35.66667,-71.5
ALH 88034,H6,Chondrite,Stony,26.7,1,Found,1988,159.4026,-76.72018
QUE 97845,H6,Chondrite,Stony,26.7,1,Found,1997,168,-84
MET 01125,H6,Chondrite,Stony,26.7,1,Found,2001,159.75,-79.68333
Y-74545,H6,Chondrite,Stony,26.65,1,Found,1974,35.66667,0
MET 01258,H6,Chondrite,Stony,26.6,1,Found,2001,159.75,-79.68333
LEW 86543,H6,Chondrite,Stony,26.4,1,Found,1986,161.54226,-84.23433
LEW 88166,H6,Chondrite,Stony,26.4,1,Found,1988,161.37957,-84.24828
PCA 91091,H6,Chondrite,Stony,26.4,1,Found,1991,-69.0557,-85.65935
MET 00879,H6,Chondrite,Stony,26.4,1,Found,2000,159.75,-79.68333
MET 001059,H6,Chondrite,Stony,26.4,1,Found,2000,159.75,-79.68333
Y-74481,H6,Chondrite,Stony,26.32,1,Found,1974,35.66667,0
Y-74137,H6,Chondrite,Stony,26.32,1,Found,1974,35.66667,-71.5
Y-791559,H6,Chondrite,Stony,26.21,1,Found,1979,35.66667,-71.5
LEW 88506,H6,Chondrite,Stony,26.2,1,Found,1988,161.33559,-84.28876
LAP 02274,H6,Chondrite,Stony,26.16,1,Found,2002,-70,-86.36667
Y-794029,H6,Chondrite,Stony,26.11,1,Found,1979,35.66667,-71.5
ALH 85139,H6,Chondrite,Stony,26,1,Found,1985,156.66818,-76.90705
QUE 90277,H6,Chondrite,Stony,26,1,Found,1990,162.76926,-84.59534
HrDL 006,H6,Chondrite,Stony,26,1,Found,1999,-117.30752,35.04722
ALHA77131,H6,Chondrite,Stony,25.9,1,Found,1977,159.66667,-76.71667
ALH 84187,H6,Chondrite,Stony,25.9,1,Found,1984,158.68913,-76.71976
LEW 86028,H6,Chondrite,Stony,25.9,1,Found,1986,161.69076,-84.27374
PCA 02060,H6,Chondrite,Stony,25.9,1,Found,2002,-68.7,-85.63333
ALH 82124,H6,Chondrite,Stony,25.8,1,Found,1982,157.24166,-77.03811
Y-74548,H6,Chondrite,Stony,25.74,1,Found,1974,35.66667,0
GRA 98135,H6,Chondrite,Stony,25.7,1,Found,1998,-141.5,-86.71667
MET 001091,H6,Chondrite,Stony,25.7,1,Found,2000,159.75,-79.68333
Y-74105,H6,Chondrite,Stony,25.66,1,Found,1974,35.66667,-71.5
ALHA77149,H6,Chondrite,Stony,25.6,1,Found,1977,159.66667,-76.71667
A-881599,H6,Chondrite,Stony,25.46,1,Found,1988,26,-72
Y-74465,H6,Chondrite,Stony,25.4,1,Found,1974,35.66667,0
