place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
A-880620,H3.7,Chondrite,Stony,99.57,1,Found,1988,26,-72
A-9007,H3.7,Chondrite,Stony,94.26,1,Found,1990,26,-72
Tnz 085,H3.7,Chondrite,Stony,90.4,1,Found,2003,0.03898,25.21283
A-881626,H3.7,Chondrite,Stony,80.06,1,Found,1988,26,-72
Y-794007,H3.7,Chondrite,Stony,78.76,1,Found,1979,35.66667,-71.5
Y-791057,H3.7,Chondrite,Stony,66.68,1,Found,1979,35.66667,-71.5
A-87216,H3.7,Chondrite,Stony,65.93,1,Found,1987,26,-72
EET 87805,H3.7,Chondrite,Stony,62.7,1,Found,1987,157.16667,-76.18333
A-880840,H3.7,Chondrite,Stony,60.92,1,Found,1988,26,-72
A-881609,H3.7,Chondrite,Stony,60.71,1,Found,1988,26,-72
A-880711,H3.7,Chondrite,Stony,59.58,1,Found,1988,26,-72
A-881538,H3.7,Chondrite,Stony,57.17,1,Found,1988,26,-72
A-881411,H3.7,Chondrite,Stony,56.93,1,Found,1988,26,-72
A-880925,H3.7,Chondrite,Stony,56.07,1,Found,1988,26,-72
Y-81015,H3.7,Chondrite,Stony,55.78,1,Found,1981,35.66667,-71.5
ALH 85121,H3.7,Chondrite,Stony,55.3,1,Found,1985,156.42927,-76.84468
A-880930,H3.7,Chondrite,Stony,52.21,1,Found,1988,26,-72
A-881240,H3.7,Chondrite,Stony,49.11,1,Found,1988,26,-72
Laundry East,H3.7,Chondrite,Stony,43.1,1,Found,1967,127.1,-31.53333
A-880966,H3.7,Chondrite,Stony,35.1,1,Found,1988,26,-72
A-881491,H3.7,Chondrite,Stony,35.06,1,Found,1988,26,-72
A-881069,H3.7,Chondrite,Stony,32.75,1,Found,1988,26,-72
A-881093,H3.7,Chondrite,Stony,26.32,1,Found,1988,26,-72
Y-792927,H3.7,Chondrite,Stony,25.84,1,Found,1979,35.66667,-71.5
A-880863,H3.7,Chondrite,Stony,19.3,1,Found,1988,26,-72
Y-790443,H3.7,Chondrite,Stony,19.49,1,Found,1979,35.66667,-71.5
LEW 85383,H3.7,Chondrite,Stony,18.5,1,Found,1985,161.34604,-84.27423
LEW 88500,H3.7,Chondrite,Stony,16,1,Found,1988,161.39274,-84.24811
A-880709,H3.7,Chondrite,Stony,15.22,1,Found,1988,26,-72
A-881242,H3.7,Chondrite,Stony,15.16,1,Found,1988,26,-72
A-881309,H3.7,Chondrite,Stony,14.62,1,Found,1988,26,-72
LEW 88393,H3.7,Chondrite,Stony,12.2,1,Found,1988,161.43651,-84.24173
A-880901,H3.7,Chondrite,Stony,12.14,1,Found,1988,26,-72
A-881546,H3.7,Chondrite,Stony,10.44,1,Found,1988,26,-72
LEW 88415,H3.7,Chondrite,Stony,7.4,1,Found,1988,161.45043,-84.23729
A-882004,H3.7,Chondrite,Stony,375.5,1,Found,1988,26,-72
JaH 559,H3.7/3.8,Chondrite,Stony,208.6,1,Found,2008,56.10517,19.83992
RaS 422,H3.7-5,Chondrite,Stony,3879,1,Found,2010,56.48438,20.5052
JaH 450,H3.7-5,Chondrite,Stony,217.741,1,Found,2007,56.30298,19.74033
A-880956,H3.7-6,Chondrite,Stony,97.8,1,Found,1988,26,-72
Dhajala,H3.8,Chondrite,Stony,45000,0,Fell,1976,71.42722,22.37778
Devgaon,H3.8,Chondrite,Stony,12000,0,Fell,2001,81,19
Raguli,H3.8,Chondrite,Stony,4239,1,Found,1972,43.7,45.7
Flagler,H3.8,Chondrite,Stony,4100,1,Found,1972,-102.99,39.23
Lost Creek,H3.8,Chondrite,Stony,4018,1,Found,1916,-98.16778,39.12417
Acfer 028,H3.8,Chondrite,Stony,3130,1,Found,1989,4.25,27.66667
A-881539,H3.8,Chondrite,Stony,1896.48,1,Found,1988,26,-72
A-881400,H3.8,Chondrite,Stony,698.02,1,Found,1988,26,-72
RC 001,H3.8,Chondrite,Stony,462,1,Found,1968,-103.56667,33.78333
NWA 046,H3.8,Chondrite,Stony,422,1,Found,1999,-3.98333,30.9
GRA 98050,H3.8,Chondrite,Stony,337.4,1,Found,1998,-141.5,-86.71667
A-880788,H3.8,Chondrite,Stony,220.13,1,Found,1988,26,-72
Dengli,H3.8,Chondrite,Stony,243.5,1,Found,1976,58.86667,39.06667
A-880746,H3.8,Chondrite,Stony,239.71,1,Found,1988,26,-72
A-880729,H3.8,Chondrite,Stony,239.61,1,Found,1988,26,-72
AaU 001,H3.8,Chondrite,Stony,194.34,1,Found,2008,48.95937,22.72192
NWA 541,H3.8,Chondrite,Stony,174,1,Found,2000,-5.18333,31.1
Y-791047,H3.8,Chondrite,Stony,163.44,1,Found,1979,35.66667,-71.5
MET 00570,H3.8,Chondrite,Stony,157.02,1,Found,2000,155.75,-79.68333
GRA 98023,H3.8,Chondrite,Stony,136.7,1,Found,1998,-141.5,-86.71667
Acfer 159,H3.8,Chondrite,Stony,123,1,Found,1990,3.93333,27.5
Acfer 119,H3.8,Chondrite,Stony,121,1,Found,1990,4.23333,27.65
Dho 189,H3.8,Chondrite,Stony,120,1,Found,2000,54.195,18.34167
Acfer 023,H3.8,Chondrite,Stony,118,1,Found,1989,3.91667,27.51667
Dho 993,H3.8,Chondrite,Stony,114.5,1,Found,2004,54.89417,19.22483
A-880869,H3.8,Chondrite,Stony,114.34,1,Found,1988,26,-72
WIS 91627,H3.8,Chondrite,Stony,107,1,Found,1991,-122.96218,-86.50985
Thumb Butte,H3.8,Chondrite,Stony,105,1,Found,2008,-114.45585,35.16993
A-880624,H3.8,Chondrite,Stony,91.68,1,Found,1988,26,-72
A-880724,H3.8,Chondrite,Stony,78.24,1,Found,1988,26,-72
MET 01182,H3.8,Chondrite,Stony,69.9,1,Found,2001,159.75,-79.68333
GRA 98024,H3.8,Chondrite,Stony,59.1,1,Found,1998,-141.5,-86.71667
Y-794009,H3.8,Chondrite,Stony,54.19,1,Found,1979,35.66667,-71.5
RKPA80205,H3.8,Chondrite,Stony,53.8,1,Found,1980,158.49357,-76.20733
A-880951,H3.8,Chondrite,Stony,52.86,1,Found,1988,26,-72
Y-793275,H3.8,Chondrite,Stony,52.61,1,Found,1979,35.66667,-71.5
OTTA80301,H3.8,Chondrite,Stony,35.5,1,Found,1980,158.2,-75.83333
Y-791340,H3.8,Chondrite,Stony,34.2,1,Found,1979,35.66667,-71.5
A-881341,H3.8,Chondrite,Stony,32.38,1,Found,1988,26,-72
A-881558,H3.8,Chondrite,Stony,31.78,1,Found,1988,26,-72
Y-74142,H3.8,Chondrite,Stony,29.5,1,Found,1974,36.34167,-71.81667
A-881387,H3.8,Chondrite,Stony,24.37,1,Found,1988,26,-72
GRA 98087,H3.8,Chondrite,Stony,22.3,1,Found,1998,-141.5,-86.71667
A-881386,H3.8,Chondrite,Stony,21.57,1,Found,1988,26,-72
A-881597,H3.8,Chondrite,Stony,21.25,1,Found,1988,26,-72
SJ 010,H3.8,Chondrite,Stony,21.06,1,Found,2007,-69.867333,-25.447667
DEW 96601,H3.8,Chondrite,Stony,17.4,1,Found,1996,159.83333,-77.2
LEW 86526,H3.8,Chondrite,Stony,14.1,1,Found,1986,161.44448,-84.23923
LEW 88367,H3.8,Chondrite,Stony,14,1,Found,1988,161.38948,-84.25138
LEW 88503,H3.8,Chondrite,Stony,7.4,1,Found,1988,161.38827,-84.2508
TM 541,H3.8,Chondrite,Stony,5.7,1,Found,2007,-117.62422,39.6884
NWA 821,H3.8,Chondrite,Stony,5.1,1,Found,2000,-4.41667,31.96667
FRO 93045,H3.8,Chondrite,Stony,0.64,1,Found,1993,160.43778,-72.98167
RaS 208,H3.8/3.9,Chondrite,Stony,50.13,1,Found,2003,56.0476,20.58568
Acfer 169,H3.8/4,Chondrite,Stony,559,1,Found,1990,4.11667,27.73333
HaH 028,H3.8/4,Chondrite,Stony,143,1,Found,1990,12.73333,28.81667
HaH 153,H3.8-4,Chondrite,Stony,50000,1,Found,1995,13.5775,28.60033
Acfer 163,H3.8-5,Chondrite,Stony,125,1,Found,1990,4.35,27.7
RaS 390,H3.8-6,Chondrite,Stony,0.69,1,Found,2010,55.69318,20.0949
Willaroy,H3.8-an,Chondrite,Stony,4030,1,Found,1970,143.2,-30.1
Suwahib (Buwah),H3.8-an,Chondrite,Stony,241,1,Found,1931,51.41667,20.05556
ALHA78084,H3.9,Chondrite,Stony,14280,1,Found,1978,159.66667,-76.71667
Dho 294,H3.9,Chondrite,Stony,5988,1,Found,2001,54.5,18.61333
Dho 1540,H3.9,Chondrite,Stony,2481,1,Found,2006,54.72383,18.63867
HaH 248,H3.9,Chondrite,Stony,2345,1,Found,1997,12.77533,28.643
Dho 212,H3.9,Chondrite,Stony,1456,1,Found,2000,54.83167,18.86
Acfer 211,H3.9,Chondrite,Stony,1009,1,Found,1991,3.78167,27.46472
Dho 334,H3.9,Chondrite,Stony,973,1,Found,2000,54.69833,19.05667
Dho 695,H3.9,Chondrite,Stony,702,1,Found,2002,54.83,19.28167
Acfer 123,H3.9,Chondrite,Stony,452,1,Found,1990,3.76667,27.46667
RC 031,H3.9,Chondrite,Stony,397.1,1,Found,1984,-103.55,33.78333
HaH 002,H3.9,Chondrite,Stony,375,1,Found,1990,12.15,28.98333
DaG 225,H3.9,Chondrite,Stony,324,1,Found,1996,16.13633,27.5775
Dho 503,H3.9,Chondrite,Stony,320,1,Found,2000,54.405,18.58167
HaH 004,H3.9,Chondrite,Stony,296,1,Found,1990,12.46667,28.95
Dho 722,H3.9,Chondrite,Stony,230,1,Found,2001,54.53333,18.68667
JaH 651,H3.9,Chondrite,Stony,207.62,1,Found,2010,56.451,19.68107
A-880613,H3.9,Chondrite,Stony,190.86,1,Found,1988,26,-72
Dho 923,H3.9,Chondrite,Stony,190,1,Found,2002,54.66333,19.335
Dho 024,H3.9,Chondrite,Stony,164,1,Found,2000,54.55333,19.06167
EET 87778,H3.9,Chondrite,Stony,161.7,1,Found,1987,157.16667,-76.18333
DaG 454,H3.9,Chondrite,Stony,161,1,Found,1998,15.855,27.7875
DaG 964,H3.9,Chondrite,Stony,158.1,1,Found,2000,16.14283,27.0345
Dho 022,H3.9,Chondrite,Stony,110,1,Found,2000,54.49167,19.02833
EET 87823,H3.9,Chondrite,Stony,95.4,1,Found,1987,157.16667,-76.18333
Dho 858,H3.9,Chondrite,Stony,88,1,Found,2001,54.1,18.22167
EET 87726,H3.9,Chondrite,Stony,82.5,1,Found,1987,157.16667,-76.18333
Sligo,H3.9,Chondrite,Stony,78,1,Found,1976,-102.74056,33.11861
Dho 1293,H3.9,Chondrite,Stony,69,1,Found,2001,54.665,18.84667
Dho 1291,H3.9,Chondrite,Stony,66,1,Found,2001,54.14667,18.31667
A-880684,H3.9,Chondrite,Stony,60.26,1,Found,1988,26,-72
A-881420,H3.9,Chondrite,Stony,29.36,1,Found,1988,26,-72
Dho 1292,H3.9,Chondrite,Stony,26,1,Found,2001,54.66167,18.85167
UaS 022,H3.9,Chondrite,Stony,20.78,1,Found,2010,55.52492,21.13823
RaS 218,H3.9,Chondrite,Stony,13.59,1,Found,2003,55.84888,20.5569
A-881460,H3.9,Chondrite,Stony,13.1,1,Found,1988,26,-72
Dho 208,H3.9,Chondrite,Stony,12,1,Found,2000,54.29,18.80167
NWA 059,H3.9/4,Chondrite,Stony,27000,1,Found,,-2.93333,31.83333
Acfer 006,H3.9/4,Chondrite,Stony,561,1,Found,1989,3.96667,27.63333
Acfer 188,H3.9/4,Chondrite,Stony,252,1,Found,1990,4.11667,27.58333
Acfer 005,H3.9/4,Chondrite,Stony,115,1,Found,1989,3.83333,27.6
FRO 90202,H3.9/4,Chondrite,Stony,9.73,1,Found,1990,160.47328,-72.95488
Acfer 192,H3.9-5,Chondrite,Stony,219,1,Found,1990,4.2,27.65
Acfer 180,H3.9-5,Chondrite,Stony,103,1,Found,1990,4.16667,27.6
DaG 030,H3.9-6,Chondrite,Stony,404,1,Found,1995,16.1345,27.1915
DaG 140,H3.9-6,Chondrite,Stony,263,1,Found,1996,16.208,27.1575
UaS 030,H3.9-6,Chondrite,Stony,10.06,1,Found,2010,55.51098,21.09165
FRO 90205,H3.9-6,Chondrite,Stony,7.13,1,Found,1990,160.40889,-72.99167
Trenzano,H3/4,Chondrite,Stony,11800,0,Fell,1856,10,45.46667
Y-791500,H3/4,Chondrite,Stony,1252,1,Found,1979,35.66667,-71.5
G???_tersloh,H3/4,Chondrite,Stony,1000,0,Fell,1851,8.38333,51.91667
SaU 246,H3/4,Chondrite,Stony,614.43,1,Found,2002,57.1848,20.57935
Dho 753,H3/4,Chondrite,Stony,550,1,Found,2000,54.32107,18.26585
Preobrazhenka,H3/4,Chondrite,Stony,418,1,Found,1949,79.5,53.7
Dho 484,H3/4,Chondrite,Stony,383,1,Found,2001,54.87389,19.11045
DaG 1032,H3/4,Chondrite,Stony,321,1,Found,2000,16.38133,27.035
DaG 870,H3/4,Chondrite,Stony,262,1,Found,2000,16.45683,26.911
Y-791502,H3/4,Chondrite,Stony,131.02,1,Found,1979,35.66667,-71.5
DaG 928,H3/4,Chondrite,Stony,96,1,Found,2000,16.6,26.9
FRO 01049,H3/4,Chondrite,Stony,44.1,1,Found,2001,160.40611,-72.98944
Y-790963,H3/4,Chondrite,Stony,40.32,1,Found,1979,35.66667,-71.5
JaH 420,H3/4,Chondrite,Stony,25.091,1,Found,2007,56.17768,19.95765
NWA 016,H3/4,Chondrite,Stony,22,1,Found,1999,-4.33333,31.33333
FRO 01039,H3/4,Chondrite,Stony,22,1,Found,2001,160.40722,-72.98944
RaS 215,H3/4,Chondrite,Stony,15.32,1,Found,2003,55.88898,20.56278
FRO 01040,H3/4,Chondrite,Stony,13.6,1,Found,2001,160.40528,-72.98889
FRO 01117,H3/4,Chondrite,Stony,11.2,1,Found,2001,160.52306,-72.97056
FRO 99019,H3/4,Chondrite,Stony,8.3,1,Found,1999,160.39833,-72.98972
FRO 01048,H3/4,Chondrite,Stony,6.8,1,Found,2001,160.40611,-72.98944
FRO 99036,H3/4,Chondrite,Stony,6.1,1,Found,1999,160.40389,-72.98806
FRO 03089,H3/4,Chondrite,Stony,5.6,1,Found,2004,160.3915,-72.99394
Y-790344,H3/4,Chondrite,Stony,5.26,1,Found,1979,35.66667,-71.5
FRO 01165,H3/4,Chondrite,Stony,4.5,1,Found,2001,160.40417,-72.98917
FRO 01014,H3/4,Chondrite,Stony,3.6,1,Found,2001,160.405,-72.98889
FRO 99035,H3/4,Chondrite,Stony,3.3,1,Found,1999,160.40222,-72.99
FRO 99012,H3/4,Chondrite,Stony,1.9,1,Found,1999,160.40167,-72.99444
Y-790962,H3/4,Chondrite,Stony,0.92,1,Found,1979,35.66667,-71.5
FRO 01156,H3/4,Chondrite,Stony,0.1,1,Found,2001,160.40222,-72.98944
Tulia (a),H3-4,Chondrite,Stony,86000,1,Found,1917,-101.95,34.61667
JaH 503,H3-4,Chondrite,Stony,2422,1,Found,2007,56.3106,19.75223
Nio,H3-4,Chondrite,Stony,467,0,Fell,1897,131.56667,34.2
DaG 385,H3-4,Chondrite,Stony,447,1,Found,1997,16.27433,27.4445
Dho 469,H3-4,Chondrite,Stony,309,1,Found,2001,54.93694,19.2409
FRO 03041,H3-4,Chondrite,Stony,12.31,1,Found,2003,160.51425,-72.95108
FRO 03061,H3-4,Chondrite,Stony,1.75,1,Found,2004,160.40606,-72.988
FRO 01017,H3-4,Chondrite,Stony,1.5,1,Found,2001,160.40528,-72.98889
Oum Dreyga,H3-5,Chondrite,Stony,17000,0,Fell,2003,-13.1,24.3
Luponnas,H3-5,Chondrite,Stony,14000,0,Fell,1753,5,46.21667
Fermo,H3-5,Chondrite,Stony,10200,0,Fell,1996,13.75333,43.18111
SaU 075,H3-5,Chondrite,Stony,4261,1,Found,2001,57.14067,20.6845
Didim,H3-5,Chondrite,Stony,3396,0,Fell,2007,27.32997,37.35172
Acfer 166,H3-5,Chondrite,Stony,2476,1,Found,1990,4.23333,27.51667
Dho 195,H3-5,Chondrite,Stony,2384,1,Found,1999,54.24667,18.26333
Buck Mountain Wash,H3-5,Chondrite,Stony,798,1,Found,2004,-114.20883,34.72453
JaH 504,H3-5,Chondrite,Stony,674.3,1,Found,2007,56.3103,19.75273
Magombedze,H3-5,Chondrite,Stony,666.6,0,Fell,1990,31.65,-19.48333
JA 002,H3-5,Chondrite,Stony,581,1,Found,2000,56.82262,18.4254
DaG 315,H3-5,Chondrite,Stony,525,1,Found,1997,16.312,27.12217
DaG 936,H3-5,Chondrite,Stony,522,1,Found,2000,16.11667,27.21667
JaH 610,H3-5,Chondrite,Stony,457.5,1,Found,2009,55.98085,19.87235
HaH 160,H3-5,Chondrite,Stony,434,1,Found,1995,13.55833,28.6115
SaU 043,H3-5,Chondrite,Stony,299.2,1,Found,2000,57.26111,20.93667
Dho 606,H3-5,Chondrite,Stony,259,1,Found,2001,54.18723,18.72545
Dho 1076,H3-5,Chondrite,Stony,243,1,Found,2001,54.19367,18.73805
DaG 353,H3-5,Chondrite,Stony,210,1,Found,1997,15.8705,27.5965
DaG 918,H3-5,Chondrite,Stony,200,1,Found,2000,16.08333,27.2
SJ 027,H3-5,Chondrite,Stony,199,1,Found,2008,-69.871167,-25.442667
Acfer 343,H3-5,Chondrite,Stony,140,1,Found,2002,4.265,27.619722
RaS 282,H3-5,Chondrite,Stony,132,1,Found,2009,56.39488,20.57807
DaG 300,H3-5,Chondrite,Stony,118,1,Found,1997,16.17933,26.94467
SJ 040,H3-5,Chondrite,Stony,34.5,1,Found,2009,-69.884,-25.44
FRO 90130,H3-5,Chondrite,Stony,15.5,1,Found,1990,160.47328,-72.95488
FRO 01154,H3-5,Chondrite,Stony,8.9,1,Found,2001,160.40139,-72.98833
Forrest 029,H3-5,Chondrite,Stony,6,1,Found,1992,127.93917,-30.7315
FRO 03084,H3-5,Chondrite,Stony,2.51,1,Found,2003,160.39372,-72.99547
FRO 01042,H3-5,Chondrite,Stony,2,1,Found,2001,160.40722,-72.98917
FRO 90206,H3-5,Chondrite,Stony,1.48,1,Found,1990,160.47328,-72.95488
FRO 01043,H3-5,Chondrite,Stony,0.7,1,Found,2001,160.40694,-72.98833
Lahmada 009,H3-6,Chondrite,Stony,70000,1,Found,1999,-9.5,27.16667
Abbott,H3-6,Chondrite,Stony,21100,1,Found,1951,-104.28333,36.3
Hainaut,H3-6,Chondrite,Stony,9000,0,Fell,1934,3.73333,50.31667
Y-75028,H3-6,Chondrite,Stony,6100,1,Found,1975,35.66667,-71.5
Reid 011,H3-6,Chondrite,Stony,4760,1,Found,1986,128.3,-30.21667
Dho 594,H3-6,Chondrite,Stony,1806,1,Found,2001,54.39503,18.7247
Acfer 200,H3-6,Chondrite,Stony,1301,1,Found,1991,3.92111,27.50194
Acfer 162,H3-6,Chondrite,Stony,1281,1,Found,1990,4.01667,27.66667
RaS 310,H3-6,Chondrite,Stony,1223.2,1,Found,2009,55.44327,20.78308
Acfer 111,H3-6,Chondrite,Stony,987,1,Found,1990,3.8,27.48333
Study Butte,H3-6,Chondrite,Stony,417,1,Found,1983,-103.5,29.30167
RaS 281,H3-6,Chondrite,Stony,203.7,1,Found,2009,56.38847,20.57092
BM 004,H3-6,Chondrite,Stony,145.8,1,Found,2005,-114.18845,34.70108
Acfer 259,H3-6,Chondrite,Stony,114,1,Found,1991,3.87361,27.52444
DaG 903,H3-6,Chondrite,Stony,114,1,Found,2000,16.50617,27.12267
Dho 1054,H3-6,Chondrite,Stony,65,1,Found,2000,54.672,18.93075
UaS 017,H3-6,Chondrite,Stony,61.31,1,Found,2010,55.45513,21.34422
FRO 01037,H3-6,Chondrite,Stony,18.2,1,Found,2001,160.40528,-72.98889
FRO 01057,H3-6,Chondrite,Stony,15.2,1,Found,2001,160.40639,-72.98861
Y-75030,H3-6,Chondrite,Stony,14.78,1,Found,1975,35.66667,-71.5
FRO 01068,H3-6,Chondrite,Stony,13.6,1,Found,2001,160.405,-72.98972
FRO 01031,H3-6,Chondrite,Stony,9,1,Found,2001,160.40389,-72.99
FRO 03083,H3-6,Chondrite,Stony,8.25,1,Found,2003,160.39372,-72.99547
FRO 01033,H3-6,Chondrite,Stony,6.2,1,Found,2001,160.40194,-72.99028
FRO 01082,H3-6,Chondrite,Stony,5,1,Found,2001,160.40722,-72.98972
FRO 01092,H3-6,Chondrite,Stony,4.9,1,Found,2001,160.45444,-72.95194
FRO 01041,H3-6,Chondrite,Stony,4.9,1,Found,2001,160.4075,-72.99083
NWA 014,H3-6,Chondrite,Stony,4,1,Found,1999,-4.33333,31.33333
FRO 01081,H3-6,Chondrite,Stony,3.4,1,Found,2001,160.40722,-72.98972
FRO 01019,H3-6,Chondrite,Stony,1.9,1,Found,2001,160.40333,-72.99
FRO 03069,H3-6,Chondrite,Stony,1.52,1,Found,2004,160.39875,-72.99486
FRO 01073,H3-6,Chondrite,Stony,1,1,Found,2001,160.40306,-72.99
FRO 01036,H3-6,Chondrite,Stony,0.8,1,Found,2001,160.40528,-72.98889
Y-75027,H3-6,Chondrite,Stony,0.17,1,Found,1975,35.66667,-71.5
Camel Donga 052,H3-an,Chondrite,Stony,61.4,1,Found,1993,126.6125,-30.3685
A-881561,H4,Chondrite,Stony,836.87,1,Found,1988,26,-72
A-881448,H4,Chondrite,Stony,341.27,1,Found,1988,26,-72
A-881246,H4,Chondrite,Stony,57.07,1,Found,1988,26,-72
A-87025,H4,Chondrite,Stony,53.52,1,Found,1987,26,-72
A-880742,H4,Chondrite,Stony,37.14,1,Found,1988,26,-72
A-881998,H4,Chondrite,Stony,33.47,1,Found,1988,26,-72
A-880755,H4,Chondrite,Stony,11.9,1,Found,1988,26,-72
JaH 723,H4,Chondrite,Stony,1876,1,Found,,55.57917,19.64056
NWA 726,H4,Chondrite,Stony,354,1,Found,,-4,31.03333
JaH 784,H4,Chondrite,Stony,182,1,Found,,56.42083,19.84333
JaH 720,H4,Chondrite,Stony,172,1,Found,,55.68361,19.68611
Dho 1739,H4,Chondrite,Stony,130,1,Found,,54.89417,19.17694
JaH 788,H4,Chondrite,Stony,108,1,Found,,55.71778,19.73361
RaS 426,H4,Chondrite,Stony,92,1,Found,,56.3975,20.11306
JaH 731,H4,Chondrite,Stony,72.3,1,Found,,55.57056,19.56778
JaH 728,H4,Chondrite,Stony,69,1,Found,,55.69806,19.68111
JaH 765,H4,Chondrite,Stony,45,1,Found,,56.46917,19.80333
JaH 772,H4,Chondrite,Stony,39.6,1,Found,,56.51056,19.81194
SaU 557,H4,Chondrite,Stony,3,1,Found,,56.51111,20.17417
Y-8317,H4,Chondrite,Stony,6.91,1,Found,1983,35.66667,-71.5
PCA 82515,H4,Chondrite,Stony,6.9,1,Found,1982,-68.7,-85.63333
A-87174,H4,Chondrite,Stony,43.57,1,Found,1987,26,-72
A-87288,H4,Chondrite,Stony,21.26,1,Found,1987,26,-72
A-87315,H4,Chondrite,Stony,19.71,1,Found,1987,26,-72
A-881965,H4,Chondrite,Stony,10.1,1,Found,1988,26,-72
Y-86354,H4,Chondrite,Stony,5.68,1,Found,1986,35.66667,-71.5
Y-86218,H4,Chondrite,Stony,5.59,1,Found,1986,35.66667,-71.5
Ochansk,H4,Chondrite,Stony,500000,0,Fell,1887,55.26667,57.78333
Glasatovo,H4,Chondrite,Stony,152000,0,Fell,1918,37.61667,57.35
Weston,H4,Chondrite,Stony,150000,0,Fell,1807,-73.266667,41.266667
Selma,H4,Chondrite,Stony,140600,1,Found,1906,-87,32.4
Kesen,H4,Chondrite,Stony,135000,0,Fell,1850,141.61667,38.98333
Cook 007,H4,Chondrite,Stony,100000,1,Found,1989,130.41667,-30.61667
Gladstone (stone),H4,Chondrite,Stony,57300,1,Found,1936,-104,36.3
Farmville,H4,Chondrite,Stony,56000,0,Fell,1934,-77.53333,35.55
Markovka,H4,Chondrite,Stony,54200,1,Found,1967,79.8,52.4
Woodward County,H4,Chondrite,Stony,45500,1,Found,1923,-99.5,36.5
Wellman (c),H4,Chondrite,Stony,45000,1,Found,1964,-102.33333,33.03333
Vyatka,H4,Chondrite,Stony,45000,1,Found,1991,49,57.53333
DaG 610,H4,Chondrite,Stony,44000,1,Found,1998,16.73333,26.85
Seminole,H4,Chondrite,Stony,43900,1,Found,1961,-102.61667,32.68333
Anton,H4,Chondrite,Stony,41800,1,Found,1965,-102.18111,33.7825
Buzzard Coulee,H4,Chondrite,Stony,41000,0,Fell,2008,-109.84817,52.996
Millen,H4,Chondrite,Stony,40800,1,Found,1975,-81.87389,32.83528
Wynella,H4,Chondrite,Stony,40000,1,Found,1945,148.13333,-28.95
Mayfield,H4,Chondrite,Stony,38400,1,Found,1972,-97.545,37.30833
San Emigdio,H4,Chondrite,Stony,36000,1,Found,1887,-119,36
Bledsoe,H4,Chondrite,Stony,30500,1,Found,1970,-103.02667,33.59167
Weldona,H4,Chondrite,Stony,27700,1,Found,1934,-103.95,40.35
Hammond Downs,H4,Chondrite,Stony,27000,1,Found,1950,142.8,-25.46667
Gobabeb,H4,Chondrite,Stony,27000,1,Found,1969,15.03333,-23.55
Cedar (Texas),H4,Chondrite,Stony,26000,1,Found,1900,-96.90861,29.82806
Forest Vale,H4,Chondrite,Stony,26000,0,Fell,1942,146.85833,-33.35
Salaices,H4,Chondrite,Stony,24500,1,Found,1971,-105.25,27
Cleo Springs,H4,Chondrite,Stony,24000,1,Found,1960,-98.43333,36.43333
Adrian,H4,Chondrite,Stony,22600,1,Found,1936,-102.71667,35.15
Kargapole,H4,Chondrite,Stony,21800,1,Found,1961,64.3,55.88333
Bath,H4,Chondrite,Stony,21000,0,Fell,1892,-98.31667,45.41667
Lone Tree,H4,Chondrite,Stony,20676,1,Found,1971,-91.47917,41.5
DaG 741,H4,Chondrite,Stony,20500,1,Found,1998,16.28333,27.08167
Conquista,H4,Chondrite,Stony,20350,0,Fell,1965,-47.55,-19.85
Koltsovo,H4,Chondrite,Stony,20020,1,Found,2004,36.978,54.7505
Ourique,H4,Chondrite,Stony,20000,0,Fell,1998,-8.28,37.60833
Tysnes Island,H4,Chondrite,Stony,19860,0,Fell,1884,5.61667,60
La Villa,H4,Chondrite,Stony,19800,1,Found,1956,-97.90167,26.27167
Polujamki,H4,Chondrite,Stony,18350,1,Found,1971,79.7,52.1
A-87342,H4,Chondrite,Stony,417.49,1,Found,1987,26,-72
Romero,H4,Chondrite,Stony,17200,1,Found,1938,-102.95,35.76667
Kasauli,H4,Chondrite,Stony,16820,0,Fell,2003,77.58333,29.58333
Hassayampa,H4,Chondrite,Stony,16000,1,Found,1963,-112.66667,33.75
ALHA77226,H4,Chondrite,Stony,15323,1,Found,1977,159.66667,-76.71667
Ransom,H4,Chondrite,Stony,15000,1,Found,1938,-99.93333,38.61667
Dho 224,H4,Chondrite,Stony,14974,1,Found,2001,54.57333,19.15833
Acfer 379,H4,Chondrite,Stony,14764,1,Found,2004,3.70467,27.4114
Ashuwairif 001,H4,Chondrite,Stony,14566,1,Found,2008,14.25528,29.35944
Huntsman,H4,Chondrite,Stony,14500,1,Found,1910,-103,41.18333
Edmonson (b),H4,Chondrite,Stony,14402,1,Found,1981,-101.83333,34.28333
Villedieu,H4,Chondrite,Stony,14000,1,Found,1890,4.35,47.91667
Dho 721,H4,Chondrite,Stony,13605,1,Found,2001,54.15333,18.79167
Kabo,H4,Chondrite,Stony,13400,0,Fell,1971,8.21667,11.85
Gruver,H4,Chondrite,Stony,13100,1,Found,1934,-101.4,36.33333
Seagraves,H4,Chondrite,Stony,13000,1,Found,1962,-102.58333,32.93333
AH 064,H4,Chondrite,Stony,12834,1,Found,2002,57.27497,19.40412
McKenzie Draw (a),H4,Chondrite,Stony,11800,1,Found,1989,-102.625,32.925
al-Jimshan,H4,Chondrite,Stony,11450,1,Found,1955,52.83333,20.7
